[{'x': 0.6764, 'y': -0.0866, 'z': -0.7194, 'w': -0.1325}, {'x': 0.9597, 'y': 0.0607, 'z': -0.0919}]
[{'x': 0.6773, 'y': -0.0884, 'z': -0.7179, 'w': -0.1346}, {'x': 0.9538, 'y': 0.0714, 'z': -0.0661}]
[{'x': 0.6792, 'y': -0.0888, 'z': -0.7154, 'w': -0.1377}, {'x': 0.9617, 'y': 0.0714, 'z': -0.0234}]
[{'x': 0.6813, 'y': -0.0905, 'z': -0.7123, 'w': -0.1423}, {'x': 0.9992, 'y': 0.0792, 'z': -0.0761}]
[{'x': 0.6826, 'y': -0.09, 'z': -0.7105, 'w': -0.1453}, {'x': 0.967, 'y': 0.1056, 'z': -0.0181}]
[{'x': 0.6818, 'y': -0.0895, 'z': -0.7111, 'w': -0.1464}, {'x': 0.99, 'y': 0.087, 'z': -0.0685}]
[{'x': 0.6809, 'y': -0.09, 'z': -0.7117, 'w': -0.1473}, {'x': 0.9797, 'y': 0.0797, 'z': -0.0622}]
[{'x': 0.6799, 'y': -0.0905, 'z': -0.7123, 'w': -0.1486}, {'x': 0.9826, 'y': 0.0885, 'z': -0.0737}]
[{'x': 0.6795, 'y': -0.0905, 'z': -0.7126, 'w': -0.1494}, {'x': 0.97, 'y': 0.0831, 'z': -0.0718}]
[{'x': 0.6791, 'y': -0.0904, 'z': -0.7129, 'w': -0.1495}, {'x': 0.966, 'y': 0.0714, 'z': -0.0589}]
[{'x': 0.6785, 'y': -0.0911, 'z': -0.7135, 'w': -0.1492}, {'x': 0.9621, 'y': 0.088, 'z': -0.0637}]
[{'x': 0.6782, 'y': -0.091, 'z': -0.7138, 'w': -0.1492}, {'x': 0.9617, 'y': 0.0807, 'z': -0.0469}]
[{'x': 0.6775, 'y': -0.0904, 'z': -0.7144, 'w': -0.1497}, {'x': 0.9714, 'y': 0.0831, 'z': -0.0723}]
[{'x': 0.6772, 'y': -0.0895, 'z': -0.7147, 'w': -0.1503}, {'x': 0.9753, 'y': 0.0724, 'z': -0.0507}]
