[{'x': 0.0078, 'y': -0.0072, 'z': 0.0992, 'w': 0.995}, {'x': -0.0309, 'y': -0.036, 'z': -0.9419}]
[{'x': 0.0069, 'y': -0.0077, 'z': 0.1066, 'w': 0.9943}, {'x': -0.0274, 'y': -0.0301, 'z': -0.9735}]
[{'x': 0.0059, 'y': -0.0089, 'z': 0.1146, 'w': 0.9934}, {'x': -0.0567, 'y': -0.0194, 'z': -0.9543}]
[{'x': 0.0046, 'y': -0.0103, 'z': 0.1231, 'w': 0.9923}, {'x': -0.0391, 'y': 0.0006, 'z': -0.9294}]
[{'x': 0.0039, 'y': -0.0115, 'z': 0.1314, 'w': 0.9913}, {'x': -0.0684, 'y': -0.0145, 'z': -0.9275}]
[{'x': 0.0031, 'y': -0.0111, 'z': 0.1367, 'w': 0.9905}, {'x': -0.0489, 'y': -0.0023, 'z': -0.9352}]
[{'x': 0.0017, 'y': -0.0104, 'z': 0.1446, 'w': 0.9894}, {'x': -0.0245, 'y': 0.0041, 'z': -0.9845}]
[{'x': 0.0017, 'y': -0.0115, 'z': 0.153, 'w': 0.9882}, {'x': -0.046, 'y': -0.0018, 'z': -0.9395}]
[{'x': 0.0016, 'y': -0.0124, 'z': 0.1614, 'w': 0.9868}, {'x': -0.0113, 'y': 0.0241, 'z': -0.9567}]
[{'x': 0.0026, 'y': -0.0132, 'z': 0.1678, 'w': 0.9857}, {'x': -0.0147, 'y': 0.0094, 'z': -0.9457}]
[{'x': 0.0042, 'y': -0.0135, 'z': 0.1747, 'w': 0.9845}, {'x': -0.0489, 'y': -0.015, 'z': -0.9658}]
[{'x': 0.0054, 'y': -0.013, 'z': 0.1819, 'w': 0.9832}, {'x': -0.0206, 'y': -0.0208, 'z': -0.9414}]
[{'x': 0.0059, 'y': -0.0119, 'z': 0.1874, 'w': 0.9822}, {'x': -0.0601, 'y': -0.0584, 'z': -0.9347}]
[{'x': 0.006, 'y': -0.0102, 'z': 0.1929, 'w': 0.9812}, {'x': -0.0494, 'y': -0.0125, 'z': -0.9491}]
[{'x': 0.0067, 'y': -0.009, 'z': 0.2022, 'w': 0.9793}, {'x': -0.0304, 'y': -0.016, 'z': -0.95}]
[{'x': 0.0085, 'y': -0.0085, 'z': 0.2112, 'w': 0.9774}, {'x': -0.0416, 'y': -0.0179, 'z': -0.9404}]
[{'x': 0.0113, 'y': -0.0085, 'z': 0.2178, 'w': 0.9759}, {'x': -0.0484, 'y': -0.0326, 'z': -0.9476}]
[{'x': 0.0148, 'y': -0.0089, 'z': 0.2258, 'w': 0.974}, {'x': -0.0435, 'y': -0.0306, 'z': -0.9193}]
[{'x': 0.0178, 'y': -0.0084, 'z': 0.2335, 'w': 0.9722}, {'x': -0.0338, 'y': -0.0409, 'z': -0.9366}]
[{'x': 0.0194, 'y': -0.0069, 'z': 0.2403, 'w': 0.9705}, {'x': -0.0191, 'y': -0.0316, 'z': -0.9635}]
[{'x': 0.0194, 'y': -0.0049, 'z': 0.2465, 'w': 0.9689}, {'x': -0.0226, 'y': -0.0511, 'z': -0.9155}]
[{'x': 0.0195, 'y': -0.0014, 'z': 0.2513, 'w': 0.9677}, {'x': -0.0245, 'y': -0.1263, 'z': -0.8781}]
[{'x': 0.0193, 'y': 0.0034, 'z': 0.258, 'w': 0.966}, {'x': 0.0106, 'y': -0.1283, 'z': -0.9515}]
[{'x': 0.0182, 'y': 0.0083, 'z': 0.2651, 'w': 0.964}, {'x': 0.0136, 'y': -0.139, 'z': -0.9078}]
[{'x': 0.016, 'y': 0.0114, 'z': 0.2725, 'w': 0.962}, {'x': -0.004, 'y': -0.1488, 'z': -0.8896}]
[{'x': 0.0149, 'y': 0.0135, 'z': 0.2794, 'w': 0.96}, {'x': 0.0145, 'y': -0.1112, 'z': -0.9347}]
[{'x': 0.0152, 'y': 0.0151, 'z': 0.2867, 'w': 0.9578}, {'x': 0.0121, 'y': -0.1195, 'z': -0.9356}]
[{'x': 0.0164, 'y': 0.0176, 'z': 0.2938, 'w': 0.9556}, {'x': 0.0101, 'y': -0.1239, 'z': -0.9721}]
